"Time","Subsystem #1|Branch Currents|MAINIA","Subsystem #1|Branch Currents|MAINIB","Subsystem #1|Branch Currents|MAINIC","Subsystem #1|Node Voltages|S1) M1","Subsystem #1|Node Voltages|S1) M2","Subsystem #1|Node Voltages|S1) M3"
0.0,-0.007954763249,0.1922002733,-0.1645787656,-10.65936947,6.364408493,4.299695015
1.6666E-4,-0.01418354455,0.194043532,-0.1613724083,-10.71266174,5.812892914,4.905526638
3.3332E-4,-0.02039600164,0.1951883137,-0.1575580984,-10.72360039,5.238450527,5.491907597
4.9998E-4,-0.02657850645,0.1956285238,-0.1531382203,-10.69214439,4.643379211,6.05649662
6.6664E-4,-0.03271576017,0.1953584254,-0.1481168568,-10.61842251,4.030045509,6.597046375
8.333E-4,-0.03879042715,0.194372803,-0.1425003558,-10.50274754,3.400889158,7.111431122
9.9996E-4,-0.04478330165,0.1926676184,-0.1362978369,-10.34559059,2.75841713,7.597609997
0.00116662,-0.05067300051,0.1902398318,-0.1295214891,-10.14760208,2.105185032,8.053671837
0.00133328,-0.05643586069,0.1870878488,-0.1221869662,-9.909588814,1.443776011,8.477838516
0.00149994,-0.06204615906,0.1832120568,-0.1143138558,-9.632523537,0.7768051028,8.868460655
0.0016666,-0.06747626513,0.1786152422,-0.1059258729,-9.317534447,0.106908381,9.224032402
0.00183326,-0.07269681245,0.1733026803,-0.09705100954,-8.965881348,-0.5632839799,9.543182373
0.00199992,-0.07767760754,0.1672837287,-0.08772209287,-8.57905674,-1.230957508,9.824584007
0.00216658,-0.08238759637,0.1605709046,-0.07797595114,-8.15844059,-1.893807054,10.06730843
0.00233324,-0.08679484576,0.1531795263,-0.0678531453,-7.705724716,-2.549158812,10.27037811
0.0024999,-0.09086821228,0.1451297849,-0.05739836022,-7.22269392,-3.194437027,10.43300152
0.00266656,-0.09457730502,0.1364458799,-0.04665970802,-6.711241722,-3.827124357,10.55455017
0.00283322,-0.09789380431,0.1271574348,-0.03568870202,-6.173395634,-4.444721222,10.634552
0.00299988,-0.1007916629,0.1172987968,-0.02453944646,-5.611293316,-5.044778347,10.67269325
0.00316654,-0.1032473966,0.1069087908,-0.01326806284,-5.027151108,-5.624938011,10.66883373
0.0033332,-0.1052410305,0.09603101015,-0.001932176296,-4.423259258,-6.182926178,10.62299252
0.00349986,-0.1067564711,0.08471340686,0.009409905411,-3.802000523,-6.716557503,10.53536129
0.00366652,-0.1077814102,0.07300768048,0.02069985308,-3.165801764,-7.223750114,10.40628624
0.00383318,-0.1083080918,0.06096882746,0.03188023716,-2.517137289,-7.702530384,10.23626804
0.00399984,-0.1083333716,0.04865488783,0.04289505258,-1.858538747,-8.151021004,10.02596378
0.0041665,-0.1078585535,0.0361260958,0.05369028449,-1.192572951,-8.567461014,9.77617836
0.00433316,-0.1068894267,0.02344426513,0.06421460211,-0.5218388438,-8.950210571,9.487869263
0.00449982,-0.1054361984,0.01067222469,0.07441986352,0.1510380656,-9.29775238,9.162153244
0.00466648,-0.103513062,-0.002126995474,0.08426138014,0.8234120607,-9.608700752,8.800291061
0.00483314,-0.1011387408,-0.01489038207,0.09369878471,1.492425561,-9.881710052,8.403793335
0.0049998,-0.0983344242,-0.02755641006,0.1026953757,2.155825377,-10.11588383,7.974015713
0.00516646,-0.0951231271,-0.04006579518,0.1112182438,2.810875654,-10.31022453,7.512701511
0.00533312,-0.09153071791,-0.05236118659,0.1192389727,3.454990864,-10.46395493,7.021659374
0.00549978,-0.08758440614,-0.06438815594,0.1267330796,4.085653782,-10.57645893,6.502792835
0.00566644,-0.08331344277,-0.07609526068,0.1336807311,4.700343609,-10.64726639,5.958152294
0.0058331,-0.07874736935,-0.08743453771,0.1400657147,5.296594143,-10.67606068,5.389894962
0.00599976,-0.07391552627,-0.09836193174,0.1458749622,5.872042179,-10.66269875,4.80024004
0.00616642,-0.06884714961,-0.1088373289,0.1510990262,6.424380779,-10.60719013,4.191506863
