"Time","Subsystem #1|Branch Currents|MAINIA","Subsystem #1|Branch Currents|MAINIB","Subsystem #1|Branch Currents|MAINIC","Subsystem #1|Node Voltages|S1) M1","Subsystem #1|Node Voltages|S1) M2","Subsystem #1|Node Voltages|S1) M3"
0.0,0.01405651495,-0.193897143,0.1608446985,10.69645309,-6.043157101,-4.658632278
1.6666E-4,0.02023089305,-0.1951889247,0.1571841836,10.72485733,-5.477869511,-5.253335953
3.3332E-4,0.02637203597,-0.1957772374,0.1529247016,10.71084309,-4.890989304,-5.827187538
4.9998E-4,0.03246564791,-0.1956568062,0.148069948,10.65446377,-4.284842014,-6.377905846
6.6664E-4,0.03849563748,-0.1948230565,0.142625764,10.55598354,-3.661871195,-6.903308868
8.333E-4,0.04444396123,-0.1932718009,0.1366000921,10.41580963,-3.024544477,-7.401332378
9.9996E-4,0.05029041693,-0.1910000443,0.1300039887,10.23452282,-2.375389338,-7.87003088
0.00116662,0.05601274967,-0.1880062968,0.1228519678,10.01287937,-1.716992617,-8.30756855
0.00133328,0.06158632413,-0.1842905581,0.1151621565,9.751776695,-1.05195868,-8.712237358
0.00149994,0.06698454171,-0.1798550189,0.1069566607,9.452260971,-0.3829042614,-9.082466125
0.0016666,0.07217930257,-0.174704507,0.09826184064,9.115530968,0.2875361145,-9.416818619
0.00183326,0.07714103907,-0.1688468009,0.0891084224,8.743023872,0.9565392733,-9.713900566
0.00199992,0.08183985949,-0.162294507,0.07953198999,8.336011887,1.621883154,-9.972758293
0.00216658,0.08624470234,-0.1550620347,0.0695713833,7.896244049,2.280687809,-10.1922617
0.00233324,0.09032447636,-0.1471677572,0.05926938727,7.425413609,2.930464268,-10.37161446
0.0024999,0.09404917806,-0.1386350542,0.0486728698,6.925386429,3.568655252,-10.51011848
0.00266656,0.09739027172,-0.1294917613,0.03783172369,6.398150444,4.192747116,-10.60724545
0.00283322,0.1003209725,-0.1197703555,0.02679874375,5.84577322,4.800306797,-10.66263485
0.00299988,0.1028174087,-0.1095083803,0.01562925056,5.270423412,5.388959408,-10.67607975
0.00316654,0.1048589498,-0.09874810278,0.004380044062,4.674361706,5.956382275,-10.64752102
0.0033332,0.1064283326,-0.08753596246,-0.006891021039,4.05992794,6.500357151,-10.57707977
0.00349986,0.1075123474,-0.07592236251,-0.01812596433,3.429520845,7.018754005,-10.46502304
0.00366652,0.108102262,-0.06396146119,-0.02926746197,2.785615206,7.50952673,-10.31178284
0.00383318,0.1081936508,-0.05171024799,-0.04025931656,2.130734205,7.970742226,-10.1179533
0.00399984,0.1077865511,-0.03922810778,-0.05104715377,1.467432857,8.400589943,-9.884274483
0.0041665,0.1068856791,-0.02657636069,-0.06157919019,0.7983098626,8.797386169,-9.611658096
0.00433316,0.1054999828,-0.01381753944,-0.07180642337,0.1259860694,9.159564972,-9.301164627
0.00449982,0.1036424637,-0.001014556503,-0.08168321103,-0.5469206572,9.485706329,-8.95399189
0.00466648,0.1013307348,0.01176947076,-0.0911681056,-1.217592955,9.774435043,-8.571585655
0.00483314,0.09858538955,0.02447249368,-0.1002233773,-1.883694172,10.02475643,-8.155281067
0.0049998,0.09542897344,0.03703438863,-0.1088149473,-2.542538881,10.23562908,-7.706721306
0.00516646,0.09188681096,0.04939709976,-0.1169133261,-3.191525459,10.40619659,-7.227662086
